time_step,link,latency_ms,jitter_ms,packet_loss_pct,throughput_mbps,signal_quality,availability,scenario,affected_link
0,ITS-G5,15.64,4.14,1.74,26.63,72.86,0.961,normal,All links
0,5G,25.83,6.96,0.79,82.1,80.22,0.9834,normal,All links
0,6G Candidate,8.67,2.22,0.34,160.93,87.64,0.9932,normal,All links
1,ITS-G5,14.09,3.38,1.39,27.64,70.83,0.9661,normal,All links
1,5G,25.76,5.87,0.35,82.48,78.88,0.9825,normal,All links
1,6G Candidate,7.93,2.36,0.13,148.1,93.65,0.9918,normal,All links
2,ITS-G5,16.16,4.42,1.67,27.83,74.28,0.9653,normal,All links
2,5G,23.48,6.05,1.2,77.77,81.15,0.9825,normal,All links
2,6G Candidate,8.56,3.1,0.52,144.78,91.19,0.9973,normal,All links
3,ITS-G5,16.28,4.33,1.79,29.03,77.6,0.9623,normal,All links
3,5G,25.2,5.67,0.93,79.45,77.55,0.9812,normal,All links
3,6G Candidate,9.55,2.84,0.06,148.23,92.62,0.987,normal,All links
4,ITS-G5,16.26,3.95,2.08,29.06,73.18,0.9635,normal,All links
4,5G,24.16,7.1,0.81,83.58,79.88,0.9815,normal,All links
4,6G Candidate,9.11,2.17,0.35,151.22,93.92,0.9976,normal,All links
5,ITS-G5,16.9,4.32,1.73,29.62,73.99,0.9673,normal,All links
5,5G,22.25,6.25,0.53,75.48,78.24,0.9784,normal,All links
5,6G Candidate,9.44,3.17,0.17,149.68,91.51,0.997,normal,All links
6,ITS-G5,16.92,3.9,1.95,28.8,71.42,0.9647,normal,All links
6,5G,23.75,5.24,0.96,80.99,81.43,0.9828,normal,All links
6,6G Candidate,9.53,2.32,0.32,137.97,88.17,0.9965,normal,All links
7,ITS-G5,15.16,4.41,1.42,29.17,71.89,0.9681,normal,All links
7,5G,23.49,4.89,1.17,91.74,78.84,0.9809,normal,All links
7,6G Candidate,9.5,2.21,0.59,150.37,90.87,0.9918,normal,All links
8,ITS-G5,16.67,3.39,2.08,27.76,76.41,0.9651,normal,All links
8,5G,21.93,5.76,0.78,85.04,78.06,0.9808,normal,All links
8,6G Candidate,8.92,2.26,0.71,149.28,88.36,0.9963,normal,All links
9,ITS-G5,18.63,3.3,1.75,27.03,69.6,0.9679,normal,All links
9,5G,22.58,6.05,0.73,87.13,77.65,0.9814,normal,All links
9,6G Candidate,9.11,2.14,0.64,150.68,91.73,0.9949,normal,All links
10,ITS-G5,16.79,3.76,1.94,27.54,73.62,0.9651,normal,All links
